individual	batch	well	sample_id
19098	3	H11	NA19098.3.H11
19098	3	H12	NA19098.3.H12
19098	3	bulk	NA19098.3.bulk
19101	1	A01	NA19101.1.A01
19101	1	A02	NA19101.1.A02
19101	1	A03	NA19101.1.A03
19101	1	A04	NA19101.1.A04
19101	1	A05	NA19101.1.A05
19101	1	A06	NA19101.1.A06
19101	1	A07	NA19101.1.A07
19101	1	A08	NA19101.1.A08
19101	1	A09	NA19101.1.A09
19101	1	A10	NA19101.1.A10
19101	1	A11	NA19101.1.A11
19101	1	A12	NA19101.1.A12
19101	1	B01	NA19101.1.B01
19101	1	B02	NA19101.1.B02
19101	1	B03	NA19101.1.B03
19101	1	B04	NA19101.1.B04
19101	1	B05	NA19101.1.B05
19101	1	B06	NA19101.1.B06
19101	1	B07	NA19101.1.B07
19101	1	B08	NA19101.1.B08
19101	1	B09	NA19101.1.B09
19101	1	B10	NA19101.1.B10
19101	1	B11	NA19101.1.B11
19101	1	B12	NA19101.1.B12
19101	1	C01	NA19101.1.C01
19101	1	C02	NA19101.1.C02
19101	1	C03	NA19101.1.C03
19101	1	C04	NA19101.1.C04
19101	1	C05	NA19101.1.C05
19101	1	C06	NA19101.1.C06
19101	1	C07	NA19101.1.C07
19101	1	C08	NA19101.1.C08
19101	1	C09	NA19101.1.C09
19101	1	C10	NA19101.1.C10
19101	1	C11	NA19101.1.C11
19101	1	C12	NA19101.1.C12
19101	1	D01	NA19101.1.D01
19101	1	D02	NA19101.1.D02
19101	1	D03	NA19101.1.D03
19101	1	D04	NA19101.1.D04
19101	1	D05	NA19101.1.D05
19101	1	D06	NA19101.1.D06
19101	1	D07	NA19101.1.D07
19101	1	D08	NA19101.1.D08
19101	1	D09	NA19101.1.D09
19101	1	D10	NA19101.1.D10
19101	1	D11	NA19101.1.D11
19101	1	D12	NA19101.1.D12
19101	1	E01	NA19101.1.E01
19101	1	E02	NA19101.1.E02
19101	1	E03	NA19101.1.E03
19101	1	E04	NA19101.1.E04
19101	1	E05	NA19101.1.E05
19101	1	E06	NA19101.1.E06
19101	1	E07	NA19101.1.E07
19101	1	E08	NA19101.1.E08
19101	1	E09	NA19101.1.E09
19101	1	E10	NA19101.1.E10
19101	1	E11	NA19101.1.E11
19101	1	E12	NA19101.1.E12
19101	1	F01	NA19101.1.F01
19101	1	F02	NA19101.1.F02
19101	1	F03	NA19101.1.F03
19101	1	F04	NA19101.1.F04
19101	1	F05	NA19101.1.F05
19101	1	F06	NA19101.1.F06
19101	1	F07	NA19101.1.F07
19101	1	F08	NA19101.1.F08
19101	1	F09	NA19101.1.F09
19101	1	F10	NA19101.1.F10
19101	1	F11	NA19101.1.F11
19101	1	F12	NA19101.1.F12
19101	1	G01	NA19101.1.G01
19101	1	G02	NA19101.1.G02
19101	1	G03	NA19101.1.G03
19101	1	G04	NA19101.1.G04
19101	1	G05	NA19101.1.G05
19101	1	G06	NA19101.1.G06
19101	1	G07	NA19101.1.G07
19101	1	G08	NA19101.1.G08
19101	1	G09	NA19101.1.G09
19101	1	G10	NA19101.1.G10
19101	1	G11	NA19101.1.G11
19101	1	G12	NA19101.1.G12
19101	1	H01	NA19101.1.H01
19101	1	H02	NA19101.1.H02
19101	1	H03	NA19101.1.H03
19101	1	H04	NA19101.1.H04
19101	1	H05	NA19101.1.H05
19101	1	H06	NA19101.1.H06
19101	1	H07	NA19101.1.H07
19101	1	H08	NA19101.1.H08
19101	1	H09	NA19101.1.H09
19101	1	H10	NA19101.1.H10
19101	1	H11	NA19101.1.H11
19101	1	H12	NA19101.1.H12
19101	1	bulk	NA19101.1.bulk
19101	2	A01	NA19101.2.A01
19101	2	A02	NA19101.2.A02
19101	2	A03	NA19101.2.A03
19101	2	A04	NA19101.2.A04
19101	2	A05	NA19101.2.A05
19101	2	A06	NA19101.2.A06
19101	2	A07	NA19101.2.A07
19101	2	A08	NA19101.2.A08
19101	2	A09	NA19101.2.A09
19101	2	A10	NA19101.2.A10
19101	2	A11	NA19101.2.A11
19101	2	A12	NA19101.2.A12
19101	2	B01	NA19101.2.B01
19101	2	B02	NA19101.2.B02
19101	2	B03	NA19101.2.B03
19101	2	B04	NA19101.2.B04
19101	2	B05	NA19101.2.B05
19101	2	B06	NA19101.2.B06
19101	2	B07	NA19101.2.B07
19101	2	B08	NA19101.2.B08
19101	2	B09	NA19101.2.B09
19101	2	B10	NA19101.2.B10
19101	2	B11	NA19101.2.B11
19101	2	B12	NA19101.2.B12
19101	2	C01	NA19101.2.C01
19101	2	C02	NA19101.2.C02
19101	2	C03	NA19101.2.C03
19101	2	C04	NA19101.2.C04
19101	2	C05	NA19101.2.C05
19101	2	C06	NA19101.2.C06
19101	2	C07	NA19101.2.C07
19101	2	C08	NA19101.2.C08
19101	2	C09	NA19101.2.C09
19101	2	C10	NA19101.2.C10
19101	2	C11	NA19101.2.C11
19101	2	C12	NA19101.2.C12
19101	2	D01	NA19101.2.D01
19101	2	D02	NA19101.2.D02
19101	2	D03	NA19101.2.D03
19101	2	D04	NA19101.2.D04
19101	2	D05	NA19101.2.D05
19101	2	D06	NA19101.2.D06
19101	2	D07	NA19101.2.D07
19101	2	D08	NA19101.2.D08
19101	2	D09	NA19101.2.D09
19101	2	D10	NA19101.2.D10
19101	2	D11	NA19101.2.D11
19101	2	D12	NA19101.2.D12
19101	2	E01	NA19101.2.E01
19101	2	E02	NA19101.2.E02
19101	2	E03	NA19101.2.E03
19101	2	E04	NA19101.2.E04
19101	2	E05	NA19101.2.E05
19101	2	E06	NA19101.2.E06
19101	2	E07	NA19101.2.E07
19101	2	E08	NA19101.2.E08
19101	2	E09	NA19101.2.E09
19101	2	E10	NA19101.2.E10
19101	2	E11	NA19101.2.E11
19101	2	E12	NA19101.2.E12
19101	2	F01	NA19101.2.F01
19101	2	F02	NA19101.2.F02
19101	2	F03	NA19101.2.F03
19101	2	F04	NA19101.2.F04
19101	2	F05	NA19101.2.F05
19101	2	F06	NA19101.2.F06
19101	2	F07	NA19101.2.F07
19101	2	F08	NA19101.2.F08
19101	2	F09	NA19101.2.F09
